2022-01-01	502487
2022-01-01	500783
2022-01-01	500792
2022-01-01	500786
2022-01-02	500387
2022-01-02	501651
2022-01-02	500784
2022-01-02	501646
2022-01-02	501652
2022-01-02	2214349
2022-01-02	2214352
2022-01-02	2214351
2022-01-02	500386
2022-01-02	500785
2022-01-02	2214355
2022-01-02	502161
2022-01-03	500389
2022-01-03	500385
2022-01-03	502160
2022-01-04	522849
2022-01-04	2213969
2022-01-05	522853
2022-01-05	522851
2022-01-05	525457
2022-01-05	2213971
2022-01-06	500199
2022-01-06	500200
2022-01-06	529057
2022-01-06	500197
2022-01-06	500195
2022-01-07	502605
2022-01-07	502178
2022-01-07	502606
2022-01-08	502498
2022-01-08	501304
2022-01-08	500395
2022-01-08	500584
2022-01-08	500585
2022-01-08	501307
2022-01-08	502179
2022-01-08	500583
2022-01-08	500008
2022-01-08	500007
2022-01-08	502608
2022-01-08	500398
2022-01-08	500967
2022-01-09	502599
2022-01-09	500203
2022-01-09	501323
2022-01-09	500587
2022-01-09	504687
2022-01-09	500972
2022-01-09	500204
2022-01-09	500208
2022-01-09	500392
2022-01-09	500206
2022-01-09	500969
2022-01-09	502171
2022-01-10	504779
2022-01-10	501319
2022-01-10	500393
2022-01-10	502176
2022-01-11	504814
2022-01-11	2136258
2022-01-12	2220295
2022-01-12	2136260
2022-01-12	2213972
2022-01-12	501606
2022-01-13	504878
2022-01-13	501600
2022-01-13	2213970
2022-01-13	501602
2022-01-14	501454
2022-01-14	501455
2022-01-14	501153
2022-01-14	502621
2022-01-14	504949
2022-01-14	500590
2022-01-14	500794
2022-01-14	500976
2022-01-15	502504
2022-01-15	502505
2022-01-15	500797
2022-01-15	501659
2022-01-15	501460
2022-01-15	501459
2022-01-15	500594
2022-01-15	500595
2022-01-15	500598
2022-01-15	500592
2022-01-15	500591
2022-01-15	500802
2022-01-15	501657
2022-01-15	501658
2022-01-15	2219861
2022-01-15	500980
2022-01-15	500793
2022-01-15	500593
2022-01-15	2219860
2022-01-15	500014
2022-01-15	500019
2022-01-15	500016
2022-01-15	502181
2022-01-15	501155
2022-01-15	501160
2022-01-15	505269
2022-01-15	500977
2022-01-15	501156
2022-01-15	2219858
2022-01-16	501158
2022-01-16	500220
2022-01-16	501462
2022-01-16	501457
2022-01-16	500407
2022-01-16	505394
2022-01-16	501157
2022-01-16	500796
2022-01-16	500801
2022-01-16	500221
2022-01-16	500981
2022-01-16	500975
2022-01-16	500596
2022-01-16	500217
2022-01-16	502185
2022-01-16	2221321
2022-01-16	505485
2022-01-16	500212
2022-01-16	502180
2022-01-17	505514
2022-01-17	500216
2022-01-17	500214
2022-01-17	502186
2022-01-18	501440
2022-01-18	505554
2022-01-18	454170
2022-01-18	501443
2022-01-18	500814
2022-01-18	501598
2022-01-18	500405
2022-01-19	501444
2022-01-19	500406
2022-01-19	456647
2022-01-19	505579
2022-01-19	2136254
2022-01-19	501439
2022-01-19	501605
2022-01-19	2136252
2022-01-19	500410
2022-01-20	505593
2022-01-20	505594
2022-01-20	500408
2022-01-20	2213973
2022-01-20	501604
2022-01-20	2219862
2022-01-21	501465
2022-01-21	502633
2022-01-21	500600
2022-01-21	500225
