id,胜,平,负,胜概率,平概率,负概率,返概率,凯利走势1,凯利走势2,凯利走势3
500263,5.0,3.91,1.68,19.03,24.33,56.64,95.15,0.95,0.95,0.95
500638,2.03,3.48,3.68,46.84,27.32,25.84,95.08,0.95,0.95,0.95
500269,2.64,3.6,2.54,36.07,26.45,37.49,95.21,0.95,0.95,0.95
500451,1.69,3.57,5.67,56.45,26.72,16.83,95.40,0.95,0.95,0.95
500639,1.44,4.74,7.11,66.39,20.17,13.45,95.60,0.96,0.96,0.96
500457,5.73,4.11,1.58,16.61,23.16,60.23,95.17,0.95,0.95,0.95
500848,11.74,6.12,1.25,8.12,15.58,76.29,95.37,0.95,0.95,0.95
500453,1.95,3.05,4.78,48.84,31.23,19.93,95.25,0.95,0.95,0.95
500635,6.02,5.07,1.46,15.85,18.82,65.34,95.39,0.95,0.95,0.95
500847,1.89,3.36,4.55,50.56,28.44,21.00,95.56,0.96,0.96,0.96
500643,3.72,3.7,1.95,25.56,25.69,48.75,95.07,0.95,0.95,0.95
500845,2.23,3.22,3.44,42.72,29.59,27.69,95.27,0.95,0.95,0.95
500460,1.51,4.28,6.45,63.02,22.23,14.75,95.15,0.95,0.95,0.95
500641,4.16,3.85,1.84,23.03,24.89,52.08,95.82,0.96,0.96,0.96
500459,2.22,3.21,3.48,42.93,29.69,27.38,95.30,0.95,0.95,0.95
500270,4.81,3.79,1.73,19.80,25.13,55.06,95.26,0.95,0.95,0.95
501026,1.78,3.77,4.43,53.36,25.20,21.44,94.99,0.95,0.95,0.95
501027,2.97,2.96,2.63,31.92,32.03,36.05,94.81,0.95,0.95,0.95
501023,3.15,3.17,2.37,30.10,29.91,40.00,94.80,0.95,0.95,0.95
500852,1.96,3.3,4.28,48.74,28.95,22.32,95.52,0.96,0.96,0.96
500458,2.18,3.09,3.81,43.90,30.97,25.12,95.71,0.96,0.96,0.96
500452,1.53,4.18,6.45,62.37,22.83,14.80,95.43,0.95,0.95,0.95
500265,1.63,3.98,5.41,58.45,23.94,17.61,95.27,0.95,0.95,0.95
500642,4.75,3.91,1.71,20.03,24.33,55.64,95.14,0.95,0.95,0.95
500266,2.87,3.29,2.51,33.16,28.93,37.91,95.17,0.95,0.95,0.95
501025,1.93,3.46,4.07,49.21,27.45,23.34,94.98,0.95,0.95,0.95
2233118,9.21,5.05,1.33,10.26,18.71,71.03,94.48,0.94,0.94,0.94
2233144,5.04,3.82,1.66,18.67,24.64,56.69,94.11,0.94,0.94,0.94
2233122,1.18,6.98,14.0,79.79,13.49,6.72,94.15,0.94,0.94,0.94
500409,3.27,3.08,2.39,29.16,30.95,39.89,95.34,0.95,0.95,0.95
2235372,2.51,3.14,2.97,37.81,30.23,31.96,94.91,0.95,0.95,0.95
2233120,1.63,3.81,5.4,57.81,24.73,17.45,94.24,0.94,0.94,0.94
2233123,2.98,3.3,2.39,31.75,28.67,39.58,94.61,0.95,0.95,0.95
2233800,6.92,4.78,1.41,13.60,19.68,66.72,94.08,0.94,0.94,0.94
2233801,3.16,3.27,2.27,29.78,28.77,41.45,94.09,0.94,0.94,0.94
