22001	500194
22001	528051
22001	529057
22001	531065
22001	500201
22001	532666
22001	500197
22001	500200
22001	500193
22001	500196
22001	500195
22001	500199
22001	500192
22001	529054
22002	500968
22002	500967
22002	500398
22002	501305
22002	501307
22002	500586
22002	500394
22002	501310
22002	500584
22002	500399
22002	500395
22002	500583
22002	500585
22002	500589
22003	500202
22003	500588
22003	500204
22003	500587
22003	500396
22003	500970
22003	500207
22003	500210
22003	500392
22003	500206
22003	500209
22003	500400
22003	500208
22003	500966
22004	502622
22004	502618
22004	504920
22004	501153
22004	504949
22004	501454
22004	502619
22004	502621
22004	502616
22004	500976
22004	500794
22004	500590
22004	502617
22004	501455
22005	500595
22005	501160
22005	500802
22005	500591
22005	500980
22005	500592
22005	500598
22005	500593
22005	500797
22005	500594
22005	501154
22005	501155
22005	500977
22005	500793
22006	501161
22006	500221
22006	500217
22006	500212
22006	500407
22006	500975
22006	500800
22006	500801
22006	500220
22006	501157
22006	501159
22006	500796
22006	500596
22006	500597
22007	500814
22007	501440
22007	501605
22007	500410
22007	2136252
22007	501438
22007	501444
22007	500406
22007	501439
22007	500405
22007	501442
22007	500404
22007	2136253
22007	501443
22008	500810
22008	500604
22008	500420
22008	500227
22008	500412
22008	500811
22008	500603
22008	500607
22008	500804
22008	500808
22008	500602
22008	500226
22008	500601
22008	500419
22009	500223
22009	500809
22009	500992
22009	500418
22009	500605
22009	500805
22009	500228
22009	500231
22009	500806
22009	500417
22009	500416
22009	500599
22009	500411
22009	500230
22010	2233792
22010	500816
22010	501704
22010	500822
22010	501711
22010	500820
22010	501713
22010	501715
22010	501710
22010	500821
22010	500813
22010	500817
22010	2233793
22010	501714
22011	500831
22011	500622
22011	500248
22011	500621
22011	500823
22011	500625
22011	500251
22011	500432
22011	500832
22011	500829
22011	500624
22011	500440
22011	500618
22011	500619
22012	500435
22012	500431
22012	500620
22012	500438
22012	500243
22012	500434
22012	500828
22012	500245
22012	500830
22012	500824
22012	500242
22012	500826
22012	500249
22012	500623
22013	500402
22013	501358
22013	501342
22013	501352
22013	501356
22013	2136257
22013	501334
22013	501348
22013	501346
22013	501336
22013	501344
22013	501354
22013	501350
22013	501338
22014	502667
22014	501732
22014	502672
22014	502669
22014	502670
22014	501015
22014	502666
22014	502668
22014	500256
22014	502671
22014	500630
22014	500445
22014	501192
22014	501495
22015	500840
22015	500631
22015	500629
22015	500628
22015	500449
22015	500834
22015	500836
22015	500257
22015	500835
22015	500838
22015	500833
22015	500839
22015	500443
22015	500448
22016	500441
22016	500837
22016	500442
22016	500632
22016	500626
22016	501020
22016	500627
22016	500261
22016	501013
22016	500450
22016	500260
22016	500255
22016	501017
22016	500842
22017	456423
22017	501351
22017	501330
22017	500773
22017	2136250
22017	501332
22017	501345
22017	501357
22017	501349
22017	501328
22017	501355
22017	501347
22017	501340
22017	2136259
22018	502684
22018	500455
22018	501507
22018	502675
22018	500267
22018	502681
22018	502677
22018	500851
22018	501029
22018	500640
22018	500264
22018	501505
22018	501200
22018	502682
22019	500638
22019	500848
22019	500263
22019	500451
22019	500269
22019	500845
22019	500639
22019	500847
22019	500850
22019	500643
22019	500457
22019	500453
22019	500636
22019	500635
22020	500642
22020	500459
22020	500265
22020	501025
22020	500852
22020	501027
22020	500266
22020	500458
22020	501023
22020	500452
22020	500270
22020	500641
22020	500460
22020	501026
22021	2233121
22021	2233120
22021	2233122
22021	2235327
22021	2233800
22021	2233144
22021	2235372
22021	2233118
22021	2233801
22021	500795
22021	2233796
22021	2233123
22021	2233798
22021	500409
22022	500649
22022	500862
22022	500854
22022	500470
22022	500652
22022	500858
22022	500467
22022	500644
22022	500856
22022	500469
22022	500273
22022	500853
22022	500279
22022	500645
22023	500857
22023	500272
22023	501037
22023	500463
22023	500651
22023	500281
22023	500274
22023	501040
22023	500278
22023	500861
22023	500466
22023	500465
22023	500277
22023	500648
22024	2620675
22024	456416
22024	501343
22024	501335
22024	501337
22024	2620689
22024	501339
22024	2620678
22024	2620681
22024	500778
22024	500791
22024	2620685
22024	2620683
22024	2620674
22025	500476
22025	500659
22025	500287
22025	500480
22025	500864
22025	500657
22025	500474
22025	500658
22025	500286
22025	500475
22025	500288
22025	500656
22025	500870
22025	500289
22026	500290
22026	500871
22026	500866
22026	500872
22026	500655
22026	500284
22026	500473
22026	500479
22026	500869
22026	500472
22026	500653
22026	500863
22026	500661
22026	500282
22027	501329
22027	500777
22027	500843
22027	2620677
22027	2620676
22027	2620682
22027	2620686
22027	2620679
22027	501333
22027	501331
22027	2620684
22027	501341
22027	2136251
22027	2620690
22028	502713
22028	500300
22028	502705
22028	500669
22028	500882
22028	502706
22028	500482
22028	501062
22028	502708
22028	502710
22028	502709
22028	500295
22028	502707
22028	501225
22029	2626283
22029	500667
22029	500485
22029	500481
22029	500296
22029	500662
22029	500293
22029	500665
22029	500488
22029	500487
22029	501055
22029	500298
22029	500873
22029	501059
22030	500875
22030	500294
22030	500297
22030	500489
22030	500663
22030	500668
22030	2626764
22030	2626284
22030	500292
22030	500299
22030	500880
22030	500483
22030	500490
22030	500664
22031	502786
22031	501620
22031	502789
22031	502806
22031	502805
22031	502790
22031	502808
22031	502804
22031	2636153
22031	502788
22031	2636156
22031	2636154
22031	501623
22031	2636155
22032	2636836
22032	2636815
22032	2636824
22032	2636838
22032	502807
22032	2636837
22032	2636822
22032	2636840
22032	2636842
22032	2636831
22032	2636828
22032	522309
22032	2636825
22032	2636832
22033	2636862
22033	2636849
22033	2636848
22033	2636860
22033	2636858
22033	501630
22033	2636847
22033	2636852
22033	2636855
22033	2636857
22033	2636863
22033	2636859
22033	2636853
22033	2636864
22034	500892
22034	500498
22034	500883
22034	500885
22034	500672
22034	500887
22034	500308
22034	500671
22034	500884
22034	500677
22034	500495
22034	500492
22034	500889
22034	500679
22035	500493
22035	500500
22035	500311
22035	500494
22035	501063
22035	500302
22035	501072
22035	500891
22035	500890
22035	500678
22035	500497
22035	500305
22035	501067
22035	500309
22036	501693
22036	501701
22036	501699
22036	2226455
22036	501807
22036	454179
22036	2637945
22036	2637946
22036	501697
22036	2637947
22036	2141395
22036	501694
22036	456419
22036	2637944
22037	500684
22037	502737
22037	502735
22037	502738
22037	500509
22037	502742
22037	501078
22037	502739
22037	502744
22037	501250
22037	502741
22037	502740
22037	502743
22037	500899
22038	500685
22038	500901
22038	500316
22038	500894
22038	500902
22038	500688
22038	500893
22038	500510
22038	500313
22038	500682
22038	500680
22038	500314
22038	500505
22038	500508
22039	500317
22039	500318
22039	500681
22039	500320
22039	500502
22039	500321
22039	500683
22039	500503
22039	500900
22039	500504
22039	500898
22039	500897
22039	500895
22039	500319
22040	2645226
22040	2637943
22040	2637968
22040	2645217
22040	2637948
22040	2637967
22040	2640099
22040	2637950
22040	2637949
22040	2645224
22040	2637966
22040	2637969
22040	2640100
22040	2645223
22041	501841
22041	500330
22041	501844
22041	501843
22041	501090
22041	501839
22041	500327
22041	501846
22041	501842
22041	501847
22041	501845
22041	500518
22041	501837
22041	501836
22042	500696
22042	500908
22042	500692
22042	500324
22042	500511
22042	500516
22042	500910
22042	500906
22042	500520
22042	500689
22042	500693
22042	500325
22042	500326
22042	500695
22043	2639714
22043	500690
22043	500907
22043	501086
22043	500512
22043	500694
22043	501092
22043	500697
22043	500519
22043	500691
22043	501089
22043	500911
22043	500513
22043	501084
22044	500322
22044	501853
22044	501854
22044	2222909
22044	501856
22044	2222911
22044	501855
22044	2223004
22044	2222913
22044	500514
22044	500328
22044	2222910
22044	501848
22044	2223003
22045	500878
22045	501101
22045	501093
22045	501100
22045	501098
22045	501102
22045	501094
22045	500825
22045	501097
22045	500877
22045	501095
22045	2136256
22045	500524
22045	500521
22046	502759
22046	500158
22046	502755
22046	500151
22046	500160
22046	502757
22046	502758
22046	500157
22046	500154
22046	502760
22046	502761
22046	500153
22046	502756
22046	500155
22047	500336
22047	500699
22047	501109
22047	500919
22047	501112
22047	500922
22047	2630548
22047	500335
22047	500698
22047	500914
22047	500702
22047	500701
22047	501105
22047	500704
22048	501108
22048	500333
22048	501104
22048	500334
22048	500920
22048	500705
22048	500917
22048	500337
22048	500703
22048	500332
22048	500915
22048	500916
22048	500403
22048	501110
22049	500194
22049	2637956
22049	2640078
22049	2640011
22049	2637970
22049	2637972
22049	501662
22049	501808
22049	501740
22049	501804
22049	500946
22049	500193
22049	500192
22049	2637953
22050	502770
22050	502767
22050	502774
22050	501571
22050	502769
22050	502768
22050	501574
22050	502772
22050	501579
22050	501121
22050	502766
22050	501573
22050	502765
22050	501575
22051	500928
22051	500930
22051	500925
22051	500932
22051	500538
22051	500350
22051	500712
22051	500532
22051	500540
22051	500711
22051	500713
22051	500715
22051	500923
22051	500707
22052	500929
22052	501119
22052	500537
22052	501114
22052	500351
22052	500344
22052	500346
22052	501116
22052	501113
22052	500924
22052	500931
22052	501117
22052	500533
22052	500536
22053	2637955
22053	2227368
22053	2637971
22053	2227370
22053	2227014
22053	2227372
22053	2227369
22053	2227371
22053	2227373
22053	2227367
22053	2227366
22053	2637954
22053	2637973
22053	2227365
22054	502779
22054	502783
22054	501587
22054	502784
22054	501275
22054	502776
22054	502781
22054	501586
22054	502782
22054	502777
22054	500548
22054	500353
22054	502775
22054	500723
22055	500936
22055	500721
22055	500545
22055	500935
22055	500940
22055	500358
22055	500544
22055	500938
22055	500543
22055	500934
22055	2626765
22055	501124
22055	500541
22055	500937
22056	500941
22056	500717
22056	500933
22056	500716
22056	500542
22056	500550
22056	501127
22056	500546
22056	501132
22056	501126
22056	500718
22056	500939
22056	500354
22056	501123
22057	501129
22057	501282
22057	500912
22057	501283
22057	500559
22057	500555
22057	500881
22057	501130
22057	500789
22057	2658825
22057	500905
22057	501280
22057	500553
22057	500551
22058	500728
22058	500365
22058	500725
22058	501140
22058	501139
22058	501134
22058	500369
22058	501142
22058	501133
22058	500730
22058	2658193
22058	500727
22058	500371
22058	501135
22059	500944
22059	500562
22059	500568
22059	500943
